"loc","lat","lon","datetime","date","time","count","avg","size"
"Albion Park Station",-34.566667,150.791667,"20160725 00:00",20160725,"00:00",0,1,0
"Allawah Station",-33.96973,151.1145487,"20160725 00:00",20160725,"00:00",0,28,0
"Arncliffe Station",-33.9368139,151.1471044,"20160725 00:00",20160725,"00:00",0,23,0
"Artarmon Station",-33.8088462,151.1851338,"20160725 00:00",20160725,"00:00",0,71,0
"Ashfield Station",-33.8876216,151.1257964,"20160725 00:00",20160725,"00:00",0,148,0
"Asquith Station",-33.6887073,151.1081745,"20160725 00:00",20160725,"00:00",0,12,0
"Auburn Station",-33.8493342,151.0327747,"20160725 00:00",20160725,"00:00",0,125,0
"Austinmer Station",-34.3064769,150.9293306,"20160725 00:00",20160725,"00:00",0,0,0
"Banksia Station",-33.94519,151.140458,"20160725 00:00",20160725,"00:00",0,16,0
"Bankstown Station",-33.9178532,151.0341437,"20160725 00:00",20160725,"00:00",0,91,0
"Bardwell Park Station",-33.9313462,151.1253131,"20160725 00:00",20160725,"00:00",0,10,0
"Bathurst Station",-33.4256614,149.5831502,"20160725 00:00",20160725,"00:00",0,0,0
"Beecroft Station",-33.7494775,151.0666703,"20160725 00:00",20160725,"00:00",0,18,0
"Belmore Station",-33.917181,151.0883315,"20160725 00:00",20160725,"00:00",0,28,0
"Berala Station",-33.8716223,151.0324957,"20160725 00:00",20160725,"00:00",0,16,0
"Berowra Station",-33.6233665,151.1529859,"20160725 00:00",20160725,"00:00",0,13,0
"Berry Station",-34.7803092,150.6965918,"20160725 00:00",20160725,"00:00",0,0,0
"Beverly Hills Station",-33.9490886,151.0810102,"20160725 00:00",20160725,"00:00",0,22,0
"Bexley North Station",-33.9374584,151.1136524,"20160725 00:00",20160725,"00:00",0,9,0
"Birrong Station",-33.8928869,151.0239787,"20160725 00:00",20160725,"00:00",0,8,0
"Blackheath Station",-33.6337509,150.284371,"20160725 00:00",20160725,"00:00",0,1,0
"Blacktown Station",-33.7685054,150.9072636,"20160725 00:00",20160725,"00:00",0,188,0
"Blaxland Station",-33.7435858,150.609586,"20160725 00:00",20160725,"00:00",0,5,0
"Bomaderry Station",-34.85353,150.609062,"20160725 00:00",20160725,"00:00",0,1,0
"Bondi Junction Station",-33.8910387,151.2484687,"20160725 00:00",20160725,"00:00",0,271,0
"Booragul Station",-32.9716709,151.6052148,"20160725 00:00",20160725,"00:00",0,0,0
"Bowral Station",-34.4779051,150.4168956,"20160725 00:00",20160725,"00:00",0,1,0
"Broadmeadow Station",-32.9232749,151.7340058,"20160725 00:00",20160725,"00:00",0,3,0
"Bulli Station",-34.3342325,150.9147684,"20160725 00:00",20160725,"00:00",0,1,0
"Burwood Station",-33.8770386,151.1039008,"20160725 00:00",20160725,"00:00",0,190,0
"Cabramatta Station",-33.8947601,150.9388232,"20160725 00:00",20160725,"00:00",0,87,0
"Campbelltown Station",-34.0634601,150.8145699,"20160725 00:00",20160725,"00:00",0,56,0
"Campsie Station",-33.9104129,151.1034893,"20160725 00:00",20160725,"00:00",0,88,0
"Canley Vale Station",-33.8873656,150.9434962,"20160725 00:00",20160725,"00:00",0,26,0
"Canterbury Station",-33.9120653,151.1189744,"20160725 00:00",20160725,"00:00",0,20,0
"Cardiff Station",-32.9414784,151.6625684,"20160725 00:00",20160725,"00:00",0,3,0
"Caringbah Station",-34.041611,151.1221247,"20160725 00:00",20160725,"00:00",0,28,0
"Carlingford Station",-33.782135,151.0471415,"20160725 00:00",20160725,"00:00",0,3,0
"Carlton Station",-33.9682746,151.1243625,"20160725 00:00",20160725,"00:00",0,29,0
"Carramar Station",-33.8845142,150.9610081,"20160725 00:00",20160725,"00:00",0,2,0
"Casula Station",-33.9501839,150.9118169,"20160725 00:00",20160725,"00:00",0,0,0
"Central Station",-33.8826209,151.2065819,"20160725 00:00",20160725,"00:00",119,1156,0.102941176470588
"Chatswood Station",-33.7967905,151.1806876,"20160725 00:00",20160725,"00:00",0,297,0
"Cheltenham Station",-33.755699,151.0785393,"20160725 00:00",20160725,"00:00",0,12,0
"Chester Hill Station",-33.8835937,150.9998399,"20160725 00:00",20160725,"00:00",0,7,0
"Circular Quay Station",-33.8613056,151.2108216,"20160725 00:00",20160725,"00:00",54,302,0.178807947019868
"Clarendon Station",-33.6086262,150.7880152,"20160725 00:00",20160725,"00:00",0,0,0
"Clyde Station",-33.8356783,151.0165296,"20160725 00:00",20160725,"00:00",0,3,0
"Como Station",-34.0045866,151.0681421,"20160725 00:00",20160725,"00:00",0,6,0
"Concord West Station",-33.848586,151.0856552,"20160725 00:00",20160725,"00:00",0,23,0
"Coniston Station",-34.437856,150.8851264,"20160725 00:00",20160725,"00:00",0,0,0
"Corrimal Station",-34.3756089,150.9049369,"20160725 00:00",20160725,"00:00",0,0,0
"Cronulla Station",-34.0557489,151.1515177,"20160725 00:00",20160725,"00:00",0,23,0
"Croydon Station",-33.8832136,151.1150945,"20160725 00:00",20160725,"00:00",0,23,0
"Dapto Station",-34.4930357,150.7917782,"20160725 00:00",20160725,"00:00",0,2,0
"Denistone Station",-33.7996626,151.0869192,"20160725 00:00",20160725,"00:00",0,5,0
"Domestic Station",-33.9337438,151.1807518,"20160725 00:00",20160725,"00:00",0,76,0
"Doonside Station",-33.7638836,150.868858,"20160725 00:00",20160725,"00:00",0,26,0
"Dulwich Hill Station",-33.9110628,151.1411708,"20160725 00:00",20160725,"00:00",0,25,0
"Dundas Station",-33.8037891,151.0330836,"20160725 00:00",20160725,"00:00",0,1,0
"Dungog Station",-32.402097,151.7594372,"20160725 00:00",20160725,"00:00",0,0,0
"East Hills Station",-33.9619365,150.9846693,"20160725 00:00",20160725,"00:00",0,6,0
"East Richmond Station",-33.6017605,150.7590569,"20160725 00:00",20160725,"00:00",0,1,0
"Eastwood Station",-33.7901317,151.0822352,"20160725 00:00",20160725,"00:00",0,88,0
"Edgecliff Station",-33.8797328,151.2367353,"20160725 00:00",20160725,"00:00",0,98,0
"Edmondson Park Station",-33.9693902,150.8586465,"20160725 00:00",20160725,"00:00",0,9,0
"Emu Plains Station",-33.7460307,150.6731035,"20160725 00:00",20160725,"00:00",0,15,0
"Engadine Station",-34.0678037,151.0147784,"20160725 00:00",20160725,"00:00",0,11,0
"Epping Station",-33.7727449,151.082121,"20160725 00:00",20160725,"00:00",0,126,0
"Erskineville Station",-33.9000826,151.1855234,"20160725 00:00",20160725,"00:00",0,26,0
"Fairfield Station",-33.872245,150.9572535,"20160725 00:00",20160725,"00:00",0,76,0
"Fassifern Station",-32.9855362,151.5810024,"20160725 00:00",20160725,"00:00",0,2,0
"Faulconbridge Station",-33.6964369,150.5350458,"20160725 00:00",20160725,"00:00",0,0,0
"Flemington Station",-33.8650036,151.0703883,"20160725 00:00",20160725,"00:00",0,43,0
