Day,Round,Drishtee_c,Shannon_c
1,1,7,8
1,2,16,20
1,3,26,32
1,4,30,68
1,5,40,94
1,6,74,126
1,7,85,142
1,8,85,156
1,9,95,166
1,10,142,184
1,11,175,196
1,12,186,205
1,13,192,229
1,14,204,234
1,15,208,252
1,16,235,259
1,17,245,265
1,18,273,271
1,19,288,301
1,20,288,306
1,21,310,313
1,22,310,316
1,23,310,322
2,1,6,8
2,2,16,26
2,3,36,50
2,4,63,80
2,5,80,110
2,6,116,130
2,7,132,142
2,8,142,158
2,9,154,172
2,10,160,184
2,11,190,190
2,12,197,204
2,13,201,215
2,14,208,220
2,15,226,231
2,16,231,261
2,17,247,266
2,18,261,284
2,19,269,290
2,20,305,297
2,21,311,297
2,22,320,297
2,23,333,297
2,24,338,297
